dataset,n_regimes_requested,lag,lambda_sparse,n_runs,n_collapsed,collapse_rate
FR,2,3,50.0,1,1,1.0
FR,2,2,50.0,1,1,1.0
FR,2,3,10.0,1,1,1.0
FR,3,3,50.0,1,1,1.0
FR,2,1,5.0,5,5,1.0
FR,2,3,1.0,1,1,1.0
FR,2,3,5.0,1,1,1.0
DE_FR,2,1,50.0,1,1,1.0
DE_FR,2,1,5.0,5,5,1.0
DE_FR,2,2,5.0,4,4,1.0
DE_FR,2,1,10.0,2,2,1.0
DE,2,3,50.0,1,1,1.0
DE,2,1,50.0,1,1,1.0
DE,3,1,5.0,5,5,1.0
FR,2,1,50.0,1,1,1.0
DE,2,2,50.0,1,1,1.0
DE_FR,3,1,1.0,1,1,1.0
DE_FR,2,1,1.0,1,1,1.0
DE_FR,2,3,50.0,1,1,1.0
DE,3,2,10.0,1,1,1.0
DE_FR,2,2,50.0,1,1,1.0
DE,3,2,50.0,1,1,1.0
DE,2,2,10.0,1,1,1.0
DE,3,3,50.0,1,1,1.0
FR,3,2,50.0,1,1,1.0
DE,3,1,50.0,1,1,1.0
FR,2,2,10.0,1,1,1.0
FR,3,1,50.0,1,1,1.0
DE_FR,3,2,50.0,1,1,1.0
DE_FR,2,2,10.0,1,1,1.0
DE_FR,3,3,50.0,1,1,1.0
DE_FR,3,1,50.0,1,1,1.0
DE_FR,4,2,5.0,1,1,1.0
DE,2,1,5.0,5,5,1.0
DE,2,3,1.0,1,1,1.0
DE,2,2,5.0,4,4,1.0
DE,2,3,5.0,1,1,1.0
DE,2,3,10.0,1,1,1.0
DE,2,1,10.0,2,2,1.0
FR,2,1,1.0,1,1,1.0
FR,2,2,5.0,4,4,1.0
FR,2,2,1.0,1,1,1.0
FR,2,1,10.0,2,2,1.0
DE,2,2,1.0,1,1,1.0
DE_FR,2,2,1.0,1,1,1.0
DE_FR,2,3,5.0,1,1,1.0
DE_FR,2,3,10.0,1,1,1.0
DE_FR,2,3,1.0,1,1,1.0
DE,4,2,50.0,1,1,1.0
DE,2,1,1.0,1,1,1.0
FR,4,3,50.0,1,1,1.0
DE,4,3,5.0,1,1,1.0
DE,4,3,10.0,1,1,1.0
DE_FR,4,3,50.0,1,1,1.0
DE,4,3,1.0,1,1,1.0
FR,3,1,1.0,1,1,1.0
DE,3,1,1.0,1,1,1.0
DE,3,3,10.0,1,1,1.0
FR,3,2,5.0,1,1,1.0
DE,3,2,1.0,1,1,1.0
FR,3,2,10.0,1,1,1.0
FR,3,3,10.0,1,1,1.0
DE,3,1,10.0,2,2,1.0
DE,3,3,5.0,1,1,1.0
FR,3,1,5.0,5,5,1.0
FR,3,1,10.0,2,2,1.0
DE,3,2,5.0,1,1,1.0
FR,3,3,5.0,1,1,1.0
FR,3,3,1.0,1,1,1.0
FR,3,2,1.0,1,1,1.0
FR,4,3,10.0,1,1,1.0
DE_FR,3,1,5.0,5,5,1.0
DE_FR,3,3,1.0,1,1,1.0
FR,4,3,5.0,1,1,1.0
DE_FR,3,2,5.0,1,1,1.0
DE_FR,3,2,1.0,1,1,1.0
DE_FR,3,3,10.0,1,1,1.0
DE_FR,3,1,10.0,2,2,1.0
DE,4,2,10.0,1,1,1.0
DE_FR,3,3,5.0,1,1,1.0
DE_FR,3,2,10.0,1,1,1.0
DE,4,2,5.0,1,1,1.0
DE,4,2,1.0,1,1,1.0
DE,4,1,1.0,1,1,1.0
DE,4,1,10.0,1,0,0.0
FR,4,1,5.0,1,1,1.0
DE,4,1,5.0,1,1,1.0
FR,4,2,1.0,1,1,1.0
FR,4,2,5.0,1,1,1.0
FR,4,1,10.0,1,1,1.0
FR,4,3,1.0,1,1,1.0
FR,4,2,10.0,1,1,1.0
FR,4,1,1.0,1,1,1.0
DE_FR,4,3,10.0,1,1,1.0
DE_FR,4,1,1.0,1,1,1.0
DE_FR,4,1,5.0,1,1,1.0
DE_FR,4,2,10.0,1,1,1.0
DE_FR,4,3,5.0,1,1,1.0
DE_FR,4,3,1.0,1,1,1.0
DE_FR,4,2,1.0,1,1,1.0
DE,4,1,50.0,1,1,1.0
FR,4,2,50.0,1,1,1.0
DE,3,3,1.0,1,1,1.0
FR,4,1,50.0,1,1,1.0
DE_FR,4,1,50.0,1,1,1.0
DE_FR,4,1,10.0,1,1,1.0
DE_FR,4,2,50.0,1,1,1.0
DE,3,1,15.0,1,1,1.0
DE_FR,3,1,15.0,1,1,1.0
FR,3,1,15.0,1,1,1.0
FR,2,1,15.0,1,1,1.0
DE,2,1,15.0,1,1,1.0
DE_FR,2,1,15.0,1,1,1.0
DE,4,3,50.0,1,1,1.0
