dataset,model,n_regimes_requested,n_regimes_final,lag,lambda_sparse,seed,regime,total_edges,inst_edges,inst_avg_weight,regime_collapsed,lag1_edges,lag1_avg_weight,lag2_edges,lag2_avg_weight,lag3_edges,lag3_avg_weight
FR,fantom,2,1,3,50.0,42,0,375,0,0.0,True,174,1.0,124.0,1.0,77.0,1.0
FR,fantom,2,1,2,50.0,42,0,317,0,0.0,True,213,1.0,104.0,1.0,,
FR,fantom,2,1,3,10.0,42,0,999,0,0.0,True,390,1.0,359.0,1.0,250.0,1.0
FR,fantom,3,1,3,50.0,42,0,326,0,0.0,True,146,1.0,113.0,1.0,67.0,1.0
FR,fantom,2,1,1,5.0,456,0,1593,0,0.0,True,1593,1.0,,,,
FR,fantom,2,1,3,1.0,42,0,6132,0,0.0,True,1823,1.0,2177.0,1.0,2132.0,1.0
FR,fantom,2,1,1,5.0,123,0,1346,0,0.0,True,1346,1.0,,,,
FR,fantom,2,1,3,5.0,42,0,2635,0,0.0,True,779,1.0,918.0,1.0,938.0,1.0
DE_FR,fantom,2,1,1,50.0,42,0,129,1,1.0,True,128,1.0,,,,
DE_FR,fantom,2,1,1,5.0,123,0,297,1,1.0,True,296,1.0,,,,
DE_FR,fantom,2,1,2,5.0,789,0,493,0,0.0,True,278,1.0,215.0,1.0,,
DE_FR,fantom,2,1,1,5.0,789,0,293,0,0.0,True,293,1.0,,,,
DE_FR,fantom,2,1,2,5.0,123,0,495,1,1.0,True,260,1.0,234.0,1.0,,
DE_FR,fantom,2,1,2,5.0,456,0,457,0,0.0,True,236,1.0,221.0,1.0,,
DE_FR,fantom,2,1,1,5.0,456,0,307,1,1.0,True,306,1.0,,,,
DE_FR,fantom,2,1,1,10.0,42,0,243,1,1.0,True,242,1.0,,,,
DE,fantom,2,1,3,50.0,42,0,356,0,0.0,True,157,1.0,97.0,1.0,102.0,1.0
DE,fantom,2,1,1,50.0,42,0,247,0,0.0,True,247,1.0,,,,
DE,fantom,3,1,1,5.0,456,0,1720,0,0.0,True,1720,1.0,,,,
FR,fantom,2,1,1,50.0,42,0,275,0,0.0,True,275,1.0,,,,
DE,fantom,2,1,2,50.0,42,0,286,0,0.0,True,164,1.0,122.0,1.0,,
DE_FR,fantom,3,1,1,1.0,42,0,396,0,0.0,True,396,1.0,,,,
DE_FR,fantom,2,1,1,1.0,42,0,391,0,0.0,True,391,1.0,,,,
DE_FR,fantom,2,1,1,5.0,42,0,296,1,1.0,True,295,1.0,,,,
DE_FR,fantom,2,1,3,50.0,42,0,161,1,1.0,True,90,1.0,47.0,1.0,23.0,1.0
DE,fantom,3,1,2,10.0,42,0,934,0,0.0,True,451,1.0,483.0,1.0,,
DE_FR,fantom,2,1,2,50.0,42,0,158,1,1.0,True,101,1.0,56.0,1.0,,
DE,fantom,3,1,2,50.0,42,0,303,0,0.0,True,177,1.0,126.0,1.0,,
DE,fantom,2,1,2,10.0,42,0,800,0,0.0,True,364,1.0,436.0,1.0,,
DE,fantom,3,1,3,50.0,42,0,145,33,1.0,True,57,1.0,36.0,1.0,19.0,1.0
FR,fantom,3,1,2,50.0,42,0,371,0,0.0,True,210,1.0,161.0,1.0,,
DE,fantom,3,1,1,50.0,42,0,253,0,0.0,True,253,1.0,,,,
FR,fantom,2,1,2,10.0,42,0,1429,0,0.0,True,650,1.0,779.0,1.0,,
FR,fantom,3,1,1,50.0,42,0,219,0,0.0,True,219,1.0,,,,
DE_FR,fantom,3,1,2,50.0,42,0,163,1,1.0,True,102,1.0,60.0,1.0,,
DE_FR,fantom,2,1,2,10.0,42,0,366,1,1.0,True,195,1.0,170.0,1.0,,
DE_FR,fantom,3,1,3,50.0,42,0,180,1,1.0,True,92,1.0,53.0,1.0,34.0,1.0
DE_FR,fantom,3,1,1,50.0,42,0,120,1,1.0,True,119,1.0,,,,
DE_FR,fantom,4,1,2,5.0,42,0,477,1,1.0,True,240,1.0,236.0,1.0,,
DE,fantom,2,1,1,5.0,456,0,1262,0,0.0,True,1262,1.0,,,,
DE,fantom,2,1,3,1.0,42,0,6312,0,0.0,True,2024,1.0,2094.0,1.0,2194.0,1.0
DE,fantom,2,1,2,5.0,123,0,2230,0,0.0,True,1092,1.0,1138.0,1.0,,
DE,fantom,2,1,2,5.0,42,0,1754,0,0.0,True,807,1.0,947.0,1.0,,
DE,fantom,2,1,2,5.0,789,0,1954,0,0.0,True,924,1.0,1030.0,1.0,,
DE,fantom,2,1,3,5.0,42,0,2098,0,0.0,True,767,1.0,618.0,1.0,713.0,1.0
DE,fantom,2,1,1,5.0,789,0,1265,0,0.0,True,1265,1.0,,,,
DE,fantom,2,1,1,5.0,123,0,1166,0,0.0,True,1166,1.0,,,,
DE,fantom,2,1,3,10.0,42,0,881,0,0.0,True,358,1.0,267.0,1.0,256.0,1.0
DE,fantom,2,1,2,5.0,456,0,1658,0,0.0,True,859,1.0,799.0,1.0,,
DE,fantom,2,1,1,10.0,42,0,596,0,0.0,True,596,1.0,,,,
FR,fantom,2,1,1,1.0,42,0,2255,0,0.0,True,2255,1.0,,,,
